Id,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability,genre_label
118,0.784,7,-12.451,1,0.0456,0.00143,0.871,0.103,0.104,129.005,368491,4,0.592,1
119,0.807,10,-7.612,0,0.0485,0.00493,0.923,0.113,0.117,128.999,426208,4,0.629,1
120,0.904,8,-8.248,0,0.0497,0.0011,0.668,0.114,0.3,128.013,364000,4,0.743,1
121,0.952,1,-7.446,1,0.0343,0.00741,0.936,0.0591,0.0371,129.042,392356,4,0.38,1
122,0.437,7,-10.847,1,0.0643,0.00109,0.781,0.134,0.0526,127.032,427087,4,0.781,1
123,0.879,11,-10.299,0,0.0697,4.92E-05,0.856,0.206,0.154,129.99,384372,4,0.641,1
124,0.767,5,-8.432,0,0.216,0.00264,0.767,0.665,0.0636,124.998,499252,4,0.729,1
125,0.761,7,-10.213,1,0.111,0.0145,0.421,0.107,0.0384,131.002,407895,4,0.535,1
126,0.91,8,-9.409,0,0.0604,0.000252,0.903,0.117,0.0621,129.992,445473,4,0.776,1
127,0.816,11,-4.872,0,0.403,0.423,0,0.169,0.643,160.586,324440,4,0.459,0
128,0.0813,9,-20.627,1,0.0882,0.504,1.95E-06,0.0682,0.198,106.018,146861,4,0.765,0
129,0.518,9,-7.282,0,0.111,0.235,0,0.113,0.546,144.962,215189,4,0.762,0
130,0.918,7,-7.405,1,0.0504,0.00941,0.881,0.0962,0.0683,127.004,412795,4,0.785,1
131,0.989,2,-6.044,1,0.165,0.117,0.704,0.701,0.113,135.018,273655,4,0.623,1
132,0.899,11,-4.935,0,0.0424,0.000816,0.901,0.114,0.0517,134.99,341661,4,0.671,1
133,0.81,1,-9.034,1,0.0412,0.000335,0.676,0.207,0.0487,122.997,422951,4,0.644,1
134,0.914,6,-4.636,1,0.363,0.491,0,0.447,0.854,162.15,178360,4,0.489,0
135,0.949,11,-8.06,1,0.0533,0.00294,0.895,0.109,0.262,132,455419,4,0.703,1
136,0.908,6,-7.767,1,0.103,0.000472,0.779,0.108,0.0478,133.021,463031,4,0.713,1
137,0.578,8,-9.54,1,0.151,0.79,0.000522,0.324,0.239,159.876,320720,4,0.559,0
138,0.738,10,-5.894,0,0.289,0.0769,0,0.351,0.911,192.43,192573,4,0.787,0
139,0.734,7,-5.41,1,0.215,0.00138,0,0.304,0.342,180.002,210840,4,0.775,0
140,0.866,7,-3.318,0,0.151,0.236,0,0.306,0.505,170.976,302360,4,0.654,0
141,0.885,11,-8.562,0,0.0798,0.0106,0.963,0.0964,0.559,124.981,445680,4,0.828,1
142,0.505,8,-10.198,1,0.444,0.44,2.30E-05,0.0938,0.0788,152.032,170227,4,0.506,0
143,0.702,7,-9.827,1,0.217,0.162,0.893,0.339,0.0336,128.014,459380,4,0.723,1
144,0.645,11,-4.951,0,0.0476,0.434,0,0.36,0.31,181.328,223373,4,0.578,0
145,0.634,1,-5.941,1,0.16,0.0199,2.98E-05,0.29,0.754,125.25,304507,4,0.78,0
146,0.867,7,-9.977,1,0.0481,2.53E-05,0.887,0.111,0.0384,129.998,364199,4,0.793,1
147,0.883,5,-6.839,0,0.13,0.041,0.014,0.0856,0.612,167.95,228376,4,0.533,0
148,0.826,1,-8.711,1,0.0322,0.00118,0.804,0.0934,0.4,139.993,468000,4,0.574,1
149,0.622,2,-11.631,1,0.121,0.114,0.912,0.102,0.0745,124.012,418286,4,0.797,1
150,0.625,10,-8.212,0,0.323,0.0351,0.000727,0.243,0.261,134.208,440013,4,0.447,0
151,0.665,4,-6.356,0,0.053,0.538,0,0.0981,0.486,150.118,147548,4,0.661,0
152,0.818,7,-9.612,1,0.0392,0.0435,0.906,0.121,0.0376,132.998,351072,4,0.645,1
153,0.994,10,-7.959,0,0.0595,0.0405,0.834,0.117,0.28,133.989,356600,4,0.761,1
154,0.762,8,-3.427,0,0.312,0.0219,0.000446,0.093,0.368,165.312,295667,4,0.655,0
155,0.704,8,-7.419,1,0.029,0.00172,0.87,0.0517,0.068,127.005,437116,4,0.668,1
156,0.77,9,-6.335,1,0.0506,0.00339,0,0.135,0.385,148.037,210419,4,0.511,0
157,0.897,0,-8.166,1,0.0497,0.038,0.938,0.105,0.125,125.988,433930,4,0.657,1
158,0.372,1,-13.959,1,0.0538,0.0292,0.878,0.0989,0.178,127.016,489590,4,0.716,1
159,0.831,6,-9.204,0,0.0766,0.00613,0.858,0.0989,0.0391,125.991,428360,4,0.802,1
160,0.673,1,-8.363,1,0.566,0.229,3.77E-05,0.066,0.262,148.044,276387,4,0.599,0
161,0.78,11,-12.743,0,0.076,5.11E-05,0.0108,0.364,0.19,125.985,496728,4,0.761,1
162,0.645,6,-10.248,1,0.386,0.148,2.86E-05,0.0861,0.804,112.402,162147,4,0.742,0
163,0.842,1,-5.636,0,0.316,0.000967,0,0.362,0.634,169.904,191869,4,0.63,0
164,0.839,7,-12.36,1,0.048,0.0202,0.817,0.111,0.0374,131.992,414773,4,0.659,1
165,0.936,5,-8.993,1,0.0404,0.00624,0.91,0.102,0.0679,130.009,417231,4,0.671,1
166,0.889,1,-8.045,1,0.335,0.266,1.46E-05,0.172,0.666,171.22,130480,4,0.358,0
167,0.964,7,-11.171,1,0.0541,0.01,0.866,0.109,0.159,127.996,391604,4,0.751,1
168,0.966,6,-2.808,0,0.514,0.292,0,0.347,0.7,171.02,254907,4,0.587,0
169,0.664,7,-8.004,0,0.045,0.00168,0.92,0.115,0.0367,128.007,428921,4,0.745,1
170,0.477,6,-9.534,1,0.0679,0.0152,0.749,0.129,0.227,129.987,451605,4,0.682,1
171,0.642,2,-7.095,0,0.0553,0.0942,2.03E-06,0.302,0.0837,139.696,285397,4,0.351,0
172,0.861,1,-11.531,1,0.0487,0.000537,0.851,0.0875,0.0381,125,391678,4,0.737,1
173,0.71,7,-11.24,1,0.0985,0.00418,0.884,0.552,0.0324,128.023,463000,4,0.801,1
174,0.567,7,-14.343,1,0.101,0.0739,0.838,0.112,0.0423,134.034,446867,4,0.703,1
175,0.605,4,-11.193,0,0.107,0.379,0.909,0.106,0.0381,131.006,413016,4,0.787,1
176,0.962,8,-3.411,1,0.242,0.00825,0,0.377,0.577,188.098,86000,4,0.633,0
177,0.759,11,-10.291,1,0.0497,0.00806,0.913,0.0981,0.0593,131.99,356364,4,0.724,1
178,0.736,2,-8.802,1,0.0578,0.00336,0.882,0.102,0.0366,125.975,278002,4,0.679,1
179,0.733,1,-5.077,1,0.142,0.0246,0,0.174,0.284,130.009,283693,4,0.841,0
180,0.886,6,-9.105,0,0.0546,0.000796,0.892,0.114,0.524,129.995,385846,4,0.629,1
181,0.794,9,-6.521,1,0.351,0.031,0,0.0829,0.579,177.786,366400,4,0.75,0
182,0.716,11,-9.642,1,0.11,0.00146,0.909,0.0463,0.212,122.995,443951,4,0.74,1
183,0.762,1,-6.695,0,0.056,0.00661,0.914,0.0823,0.199,126.004,397047,4,0.695,1
184,0.619,7,-6.9,0,0.163,0.655,1.24E-06,0.0883,0.419,181.852,131000,4,0.465,0
185,0.84,7,-4.934,1,0.0631,0.0105,0.806,0.0805,0.304,126.997,471968,4,0.735,1
186,0.655,1,-3.787,0,0.146,0.0473,0,0.175,0.395,142.098,200733,4,0.783,0
187,0.858,9,-8.451,1,0.051,0.0218,0.874,0.106,0.0377,130.001,302885,4,0.717,1
188,0.863,4,-6.357,0,0.0412,7.44E-05,0.914,0.201,0.159,124.991,401150,4,0.666,1
189,0.673,7,-4.572,1,0.371,0.272,0,0.0975,0.562,138.054,216082,4,0.862,0
190,0.521,11,-12.999,0,0.216,0.306,1.65E-06,0.115,0.763,190.524,248867,4,0.849,0
191,0.541,4,-8.026,1,0.418,0.102,0,0.145,0.851,191.504,253787,4,0.596,0
192,0.684,4,-17.749,0,0.0439,0.0486,0.942,0.111,0.0305,125.01,391680,4,0.624,1
193,0.435,0,-9.95,1,0.417,0.473,1.60E-05,0.0976,0.253,139.971,192412,4,0.806,0
194,0.756,8,-6.607,0,0.364,0.345,0,0.2,0.61,180.306,242608,4,0.598,0
195,0.686,0,-5.575,0,0.0862,0.369,0,0.108,0.48,144.903,151250,4,0.666,0
196,0.568,9,-11.835,0,0.0646,0.0355,0.904,0.0661,0.392,122.001,494224,4,0.757,1
197,0.822,7,-4.483,1,0.151,0.0145,0,0.742,0.615,150.06,177600,4,0.546,0
198,0.966,11,-6.42,0,0.0818,0.00348,0.000152,0.0911,0.916,131.95,138173,4,0.8,0
199,0.758,9,-10.477,1,0.0819,0.183,0.177,0.131,0.0292,126.997,343255,4,0.669,1
200,0.986,9,-7.135,1,0.0567,0.000436,0.936,0.176,0.706,123.998,360000,4,0.808,1
201,0.623,10,-7.842,1,0.157,0.0694,0,0.538,0.713,112.192,244827,4,0.798,0
202,0.66,10,-8.946,0,0.513,0.516,0.00815,0.41,0.685,179.368,157426,4,0.701,0
203,0.342,7,-5.789,1,0.117,0.0127,0.00373,0.056,0.395,194.16,219493,4,0.859,0
204,0.586,10,-10.434,0,0.301,0.0234,0.000722,0.0562,0.643,170.136,265200,4,0.772,0
205,0.882,6,-8.445,0,0.0443,0.0143,0.923,0.11,0.0842,125.997,413324,4,0.805,1
206,0.636,7,-8.644,1,0.0957,0.00959,0.939,0.0845,0.049,128.002,361951,4,0.804,1
207,0.93,11,-8.503,1,0.0519,0.14,0.943,0.308,0.143,134.004,438500,4,0.678,1
208,0.927,2,-7.062,1,0.0377,0.00779,0.875,0.0617,0.57,128.003,397487,4,0.691,1
209,0.745,11,-12.477,0,0.0711,0.00123,0.914,0.11,0.0909,127.989,410003,4,0.796,1
210,0.611,11,-8.681,0,0.315,0.21,0,0.778,0.746,181.986,279933,4,0.752,0
211,0.509,4,-7.31,1,0.0617,0.0856,0,0.438,0.534,144.29,223547,4,0.679,0
212,0.736,9,-4.274,1,0.133,0.0134,3.60E-05,0.095,0.583,169.171,218640,4,0.747,0
213,0.93,5,-10.003,0,0.0537,0.022,0.508,0.234,0.455,129.988,295073,4,0.781,1
214,0.736,1,-10.184,1,0.0397,0.00221,0.933,0.117,0.466,139.994,363429,4,0.59,1
215,0.486,11,-8.987,0,0.351,0.0837,0,0.315,0.552,158.908,136608,4,0.756,0
216,0.599,9,-5.254,1,0.0614,0.000362,8.20E-06,0.13,0.319,140.005,252520,4,0.859,0
217,0.814,7,-3.768,1,0.27,0.258,0,0.164,0.379,194.086,233400,4,0.672,0
218,0.679,7,-7.944,1,0.0398,0.0552,0.899,0.116,0.153,125.013,451684,4,0.756,1
219,0.616,2,-9.74,1,0.712,0.714,0,0.0929,0.606,183.788,206811,4,0.802,0
220,0.672,0,-5.688,1,0.0302,0.00959,0,0.0868,0.625,136.933,155993,4,0.678,0
221,0.751,1,-5.692,1,0.133,0.245,0,0.1,0.191,177.894,272293,4,0.777,0
222,0.737,10,-7.21,0,0.0971,0.0166,1.43E-05,0.0443,0.689,106.923,215467,4,0.942,0
223,0.582,0,-6.647,1,0.275,0.484,6.10E-06,0.161,0.214,119.69,198009,4,0.573,0
224,0.494,10,-10.911,0,0.201,0.0109,0.000884,0.205,0.341,190.568,191533,4,0.853,0
225,0.861,11,-8.846,1,0.0832,0.25,7.00E-05,0.164,0.548,123.964,227373,4,0.822,0
226,0.526,9,-6.741,0,0.0904,0.113,8.33E-06,0.105,0.312,162.808,339067,4,0.402,0
227,0.692,0,-2.853,0,0.338,0.487,0,0.342,0.092,166.196,225360,4,0.755,0
228,0.386,7,-12.604,1,0.061,0.0141,0.92,0.102,0.0375,124.994,493440,4,0.576,1
229,0.65,6,-6.313,1,0.104,0.291,0,0.112,0.647,180.006,160212,4,0.701,0
230,0.568,2,-8.904,1,0.212,0.278,1.98E-06,0.385,0.905,136.894,205800,4,0.716,0
231,0.762,11,-6.834,0,0.0961,0.00911,0.708,0.0779,0.228,125.998,419048,4,0.907,1
232,0.844,10,-9.472,0,0.0339,0.00097,0.8,0.111,0.0692,134.995,307627,4,0.602,1
233,0.823,1,-6.534,0,0.0887,0.0131,0.0147,0.0981,0.131,125.995,416071,4,0.675,1
234,0.799,9,-6.883,1,0.24,0.33,0,0.108,0.582,157.74,215509,4,0.609,0
235,0.746,1,-3.53,1,0.0517,0.0672,0,0.353,0.549,185.046,239440,4,0.73,0
236,0.74,6,-12.776,1,0.0967,0.0223,0.75,0.113,0.239,128.002,397500,4,0.789,1
237,0.575,9,-11.951,1,0.22,0.662,0,0.344,0.778,180.218,214640,4,0.738,0
238,0.66,0,-6.645,0,0.376,0.0109,0,0.491,0.469,189.649,311653,4,0.629,0
239,0.616,11,-10.477,0,0.878,0.775,0,0.0981,0.337,127.3,408064,3,0.604,0
240,0.918,10,-9.456,0,0.0698,0.129,0.901,0.11,0.0652,131.016,396200,4,0.785,1
241,0.657,11,-8.988,1,0.182,0.00533,0.961,0.11,0.072,125.977,419770,4,0.799,1
242,0.496,7,-9.983,1,0.199,0.399,0.00083,0.378,0.569,160.093,302360,4,0.471,0
243,0.469,8,-8.112,1,0.0646,0.0599,0,0.0753,0.481,206.114,224240,4,0.797,0
244,0.484,6,-9.865,1,0.036,0.186,0.587,0.345,0.531,177.65,187453,4,0.688,0
245,0.703,6,-4.136,1,0.251,0.149,1.77E-06,0.0788,0.6,188.604,279067,4,0.798,0
246,0.518,7,-10.02,1,0.0805,0.00646,1.33E-06,0.158,0.464,169.799,253933,4,0.644,0
247,0.877,9,-4.241,1,0.0658,0.12,1.85E-05,0.102,0.629,104.961,194743,4,0.796,0
248,0.543,7,-8.311,1,0.112,0.0402,0,0.09,0.461,125.242,123387,4,0.473,0
249,0.774,7,-11.25,1,0.0696,0.000949,0.863,0.361,0.472,130.023,456231,4,0.808,1
250,0.981,6,-7.65,0,0.169,0.182,0.701,0.109,0.205,135.997,413000,4,0.529,1
251,0.881,6,-8.272,0,0.0828,0.00198,0.925,0.0606,0.0794,130.004,476000,4,0.791,1
252,0.89,11,-4.59,0,0.0511,0.00169,0.906,0.105,0.864,124.996,415920,4,0.802,1
253,0.947,6,-8.282,0,0.0459,0.00153,0.928,0.788,0.0307,128.011,382500,4,0.662,1
254,0.69,10,-5.299,0,0.452,0.0259,0,0.422,0.242,141.858,372707,4,0.383,0
255,0.436,11,-8.958,0,0.0742,0.738,0.00137,0.0745,0.0761,149.976,247227,4,0.453,0
256,0.415,1,-11.116,1,0.319,0.152,0.000185,0.105,0.523,132.816,260318,4,0.805,0
257,0.726,11,-7.288,0,0.0686,0.0843,0.861,0.0596,0.251,127,428480,4,0.705,1
258,0.617,10,-9.32,0,0.442,0.113,0,0.734,0.632,149.962,166400,4,0.808,0
259,0.606,7,-8.136,1,0.276,0.000331,4.87E-06,0.0706,0.485,105.972,244733,4,0.862,0
260,0.879,8,-5.605,0,0.0618,0.000424,0.715,0.057,0.175,127.007,396852,4,0.8,1
261,0.849,1,-5.707,1,0.324,0.102,0,0.295,0.697,167.307,254547,4,0.634,0
262,0.76,4,-7.895,0,0.254,0.0217,0,0.322,0.951,186.164,247613,4,0.858,0
263,0.787,11,-6.009,0,0.205,0.00127,0.000181,0.0764,0.806,180.376,296907,4,0.802,0
264,0.891,8,-9.649,0,0.046,0.000137,0.94,0.0656,0.108,127.99,427380,4,0.706,1
265,0.768,7,-7.338,1,0.0365,0.0432,0.91,0.105,0.137,125.999,361214,4,0.748,1
266,0.726,8,-6.942,0,0.288,0.21,7.20E-06,0.0496,0.686,182.052,241800,4,0.914,0
267,0.713,11,-11.157,0,0.0435,0.0158,0.907,0.0706,0.172,132.01,431175,4,0.614,1
268,0.422,10,-8.512,1,0.0443,0.0964,0.000251,0.0955,0.114,125.013,198627,4,0.532,0
269,0.851,6,-8.322,0,0.216,0.000442,0.823,0.112,0.156,133.995,405026,4,0.717,1
